token,date,time,open,high,low,close
dogecoin,2025-01-06,12:00:00,0.38289,0.387875,0.382036,0.386977
dogecoin,2025-01-06,16:00:00,0.387033,0.392598,0.382837,0.390971
dogecoin,2025-01-06,20:00:00,0.389875,0.393438,0.385446,0.3896
cardano,2024-12-31,00:00:00,0.8681,0.87931,0.848367,0.859131
cardano,2024-12-31,04:00:00,0.859857,0.859857,0.847132,0.847646
cardano,2024-12-31,08:00:00,0.84831,0.851162,0.841414,0.844548
cardano,2024-12-31,12:00:00,0.84429,0.867312,0.84429,0.856608
cardano,2024-12-31,16:00:00,0.856856,0.872682,0.855557,0.870579
cardano,2024-12-31,20:00:00,0.869173,0.870446,0.844192,0.849073
cardano,2025-01-01,00:00:00,0.848879,0.852532,0.841187,0.844261
cardano,2025-01-01,04:00:00,0.843667,0.857319,0.843667,0.850987
cardano,2025-01-01,08:00:00,0.8505,0.856278,0.847914,0.852235
cardano,2025-01-01,12:00:00,0.851417,0.851864,0.838504,0.850825
cardano,2025-01-01,16:00:00,0.850765,0.870888,0.850765,0.870888
cardano,2025-01-01,20:00:00,0.873563,0.925888,0.873563,0.916774
cardano,2025-01-02,00:00:00,0.916833,0.925171,0.911991,0.914758
cardano,2025-01-02,04:00:00,0.919174,0.950372,0.919174,0.941049
cardano,2025-01-02,08:00:00,0.94131,0.946018,0.925163,0.930956
cardano,2025-01-02,12:00:00,0.932165,0.967222,0.928895,0.966083
cardano,2025-01-02,16:00:00,0.968268,0.978675,0.950156,0.954526
cardano,2025-01-02,20:00:00,0.954456,0.964453,0.947108,0.957513
cardano,2025-01-03,00:00:00,0.960069,0.96537,0.956062,0.961848
cardano,2025-01-03,04:00:00,0.961347,1.002,0.959087,1.002
cardano,2025-01-03,08:00:00,1.018,1.041,1.008,1.033
cardano,2025-01-03,12:00:00,1.033,1.082,1.033,1.076
cardano,2025-01-03,16:00:00,1.075,1.097,1.072,1.084
cardano,2025-01-03,20:00:00,1.084,1.11,1.081,1.094
cardano,2025-01-04,00:00:00,1.093,1.11,1.087,1.09
cardano,2025-01-04,04:00:00,1.09,1.1,1.081,1.095
cardano,2025-01-04,08:00:00,1.092,1.092,1.077,1.077
cardano,2025-01-04,12:00:00,1.076,1.076,1.058,1.063
cardano,2025-01-04,16:00:00,1.062,1.088,1.061,1.064
cardano,2025-01-04,20:00:00,1.065,1.075,1.065,1.072
cardano,2025-01-05,00:00:00,1.072,1.079,1.07,1.072
cardano,2025-01-05,04:00:00,1.071,1.074,1.056,1.056
cardano,2025-01-05,08:00:00,1.057,1.11,1.057,1.099
cardano,2025-01-05,12:00:00,1.096,1.096,1.075,1.076
cardano,2025-01-05,16:00:00,1.076,1.1,1.074,1.091
cardano,2025-01-05,20:00:00,1.091,1.095,1.08,1.095
cardano,2025-01-06,00:00:00,1.093,1.1,1.084,1.094
cardano,2025-01-06,04:00:00,1.093,1.1,1.077,1.088
cardano,2025-01-06,08:00:00,1.089,1.092,1.077,1.079
cardano,2025-01-06,12:00:00,1.079,1.084,1.074,1.082
cardano,2025-01-06,16:00:00,1.083,1.1,1.067,1.098
cardano,2025-01-06,20:00:00,1.097,1.11,1.092,1.11
sui,2024-12-31,00:00:00,4.34,4.36,4.13,4.17
sui,2024-12-31,04:00:00,4.17,4.17,4.05,4.09
sui,2024-12-31,08:00:00,4.1,4.14,4.07,4.14
sui,2024-12-31,12:00:00,4.16,4.32,4.16,4.23
sui,2024-12-31,16:00:00,4.23,4.27,4.19,4.25
sui,2024-12-31,20:00:00,4.25,4.28,4.18,4.21
sui,2025-01-01,00:00:00,4.22,4.23,4.11,4.12
sui,2025-01-01,04:00:00,4.12,4.2,4.12,4.2
sui,2025-01-01,08:00:00,4.2,4.2,4.14,4.14
sui,2025-01-01,12:00:00,4.14,4.14,4.05,4.13
sui,2025-01-01,16:00:00,4.14,4.19,4.14,4.19
sui,2025-01-01,20:00:00,4.19,4.27,4.15,4.26
sui,2025-01-02,00:00:00,4.26,4.3,4.25,4.27
sui,2025-01-02,04:00:00,4.27,4.33,4.25,4.27
sui,2025-01-02,08:00:00,4.27,4.38,4.26,4.36
sui,2025-01-02,12:00:00,4.36,4.45,4.34,4.44
sui,2025-01-02,16:00:00,4.43,4.44,4.35,4.39
